frame,n_total,vx_raw,vy_raw,vx_apply,vy_apply,vx_smooth,vy_smooth,vx_kalman,vy_kalman,inlier_fraction,ego_fit_inliers,ego_fit_coverage,ego_fit_score,speed_apply,speed_smooth,n_static,n_moving,n_uncertain,static_fraction,use_vr_comp,compensate_mode
0000000077_39720_000000000624.bin,453,5.15074314508201,1.0019921010186774,5.1199269767687365,0.8519685192324292,5.102683580470318,0.8484702395884018,5.1199269767687365,0.8519685192324292,0.22696629213483147,101,1.0,0.22696629213483147,5.190327793618372,5.172744094759433,119,334,0,0.26269315673289184,False,kalman
0000000077_51659_000000000625.bin,444,5.297501570991352,0.7850581178213856,5.173153130396714,0.8319128163296302,5.1513880781005765,0.8326172091466477,5.173153130396714,0.8319128163296302,0.21739130434782608,95,1.0,0.21739130434782608,5.239617566627055,5.218242093671384,112,332,0,0.25225225225225223,False,kalman
0000000077_64025_000000000626.bin,440,5.301492498681681,0.7100572581862433,5.215921755814512,0.7913048969440579,5.188914183245853,0.8019772214065467,5.215921755814512,0.7913048969440579,0.2494279176201373,109,1.0,0.2494279176201373,5.275604534336021,5.250523580057987,125,315,0,0.2840909090909091,False,kalman
0000000077_77194_000000000627.bin,452,5.348836097896918,0.6971301616985723,5.2564518395309054,0.7625878311732149,5.228894661908619,0.7757654564795531,5.2564518395309054,0.7625878311732149,0.22371364653243847,100,1.0,0.22371364653243847,5.311480597871116,5.286128207753135,121,331,0,0.2676991150442478,False,kalman
0000000077_89682_000000000628.bin,411,5.437682546448485,0.9001249071942627,5.312548000697227,0.805159546055561,5.2810916330435855,0.8068553191582305,5.312548000697227,0.805159546055561,0.22549019607843138,92,1.0,0.22549019607843138,5.373215811254607,5.342372538737531,113,298,0,0.2749391727493917,False,kalman
0000000078_01779_000000000629.bin,436,5.34971610789004,0.7586073415382515,5.324456054818677,0.7902449805117943,5.298247751755199,0.7947933247532357,5.324456054818677,0.7902449805117943,0.23598130841121495,101,1.0,0.23598130841121495,5.382779896012781,5.357529810281164,121,315,0,0.2775229357798165,False,kalman
0000000078_13874_000000000630.bin,452,5.436731991693692,0.7168894256121779,5.36019906363981,0.7668922629230309,5.332868811739822,0.7753173499679713,5.36019906363981,0.7668922629230309,0.23555555555555555,106,1.0,0.23555555555555555,5.4147814124649845,5.388933730933112,133,319,0,0.2942477876106195,False,kalman
0000000078_25321_000000000631.bin,501,5.448514876021394,0.6982075934914479,5.389445153542139,0.7441470946124156,5.361780327810216,0.7560399108488405,5.389445153542139,0.7441470946124156,0.250501002004008,125,1.0,0.250501002004008,5.440576620309556,5.414820830876027,145,356,0,0.2894211576846307,False,kalman
0000000078_37135_000000000632.bin,455,5.425924920650944,0.6548610277981127,5.400701585672145,0.7165964101945921,5.3778164760203975,0.7307451900861586,5.400701585672145,0.7165964101945921,0.2292134831460674,102,1.0,0.2292134831460674,5.4480352451673255,5.427236735447469,121,334,0,0.26593406593406593,False,kalman
0000000078_49159_000000000633.bin,449,5.377147002292947,1.1219557570894483,5.392522957642469,0.857345378802264,5.377649107588534,0.828547831836981,5.392522957642469,0.857345378802264,0.2698412698412698,119,0.9914285639627556,0.2681065744527799,5.460251363010194,5.441102961164172,126,323,0,0.2806236080178174,False,kalman
0000000078_62039_000000000634.bin,474,5.441557944887763,1.0053219292365572,5.407892533295669,0.9037272973989265,5.393626316913341,0.8727413561868751,5.407892533295669,0.9037272973989265,0.23880597014925373,112,1.0,0.23880597014925373,5.482884704217208,5.463779124497903,127,347,0,0.2679324894514768,False,kalman
0000000078_74095_000000000635.bin,452,5.449590778462311,0.7812818602006589,5.422448462865512,0.8609843197775959,5.407617432300584,0.8498764821903211,5.422448462865512,0.8609843197775959,0.2767857142857143,124,1.0,0.2767857142857143,5.49037715747611,5.473994549604645,139,313,0,0.3075221238938053,False,kalman
0000000078_86184_000000000636.bin,438,5.501327191207866,0.7896370759680685,5.449567458851686,0.8364546948818026,5.431044872027405,0.834816630634758,5.449567458851686,0.8364546948818026,0.2777777777777778,120,1.0,0.2777777777777778,5.513387519952232,5.4948309536108155,137,301,0,0.3127853881278539,False,kalman
0000000078_98868_000000000637.bin,456,5.464352588957962,0.6392585327503434,5.454048673565358,0.7766866484140761,5.439371801260044,0.7859271061636544,5.454048673565358,0.7766866484140761,0.23348017621145375,106,1.0,0.23348017621145375,5.509073341628766,5.495857258749148,131,325,0,0.28728070175438597,False,kalman
0000000079_10949_000000000638.bin,405,5.526489884450901,0.6733717701480906,5.476626347583436,0.7444866118024254,5.461151322057757,0.7577882721597634,5.476626347583436,0.7444866118024254,0.23544303797468355,93,0.9285714404975152,0.22283002018911818,5.526997056829155,5.513475929741244,109,296,0,0.2691358024691358,False,kalman
0000000079_22891_000000000639.bin,443,5.565268473408157,0.6830246841705335,5.502413496359905,0.7266065366441861,5.487180609895357,0.739097375162456,5.502413496359905,0.7266065366441861,0.21052631578947367,92,1.0,0.21052631578947367,5.550181199205815,5.536733330727028,117,326,0,0.26410835214446954,False,kalman
0000000079_35097_000000000640.bin,444,5.6493160042697355,1.0217510713475815,5.550216176324563,0.8226477815247999,5.527714458488951,0.8097607992087374,5.550216176324563,0.8226477815247999,0.24036281179138322,106,1.0,0.24036281179138322,5.610851002867793,5.586710990065888,119,325,0,0.268018018018018,False,kalman
0000000079_46372_000000000641.bin,495,5.6199071997728804,0.8263187446616485,5.571577342040431,0.823772977396851,5.550762643809934,0.8139002855719653,5.571577342040431,0.823772977396851,0.22336065573770492,109,1.0,0.22336065573770492,5.6321466597228795,5.610115827928152,122,373,0,0.24646464646464647,False,kalman
0000000079_58375_000000000642.bin,460,5.596180909793045,1.2737364677572496,5.579637888291202,0.9711886514843207,5.562117210305712,0.9288593311182862,5.579637888291202,0.9711886514843207,0.24395604395604395,111,1.0,0.24395604395604395,5.663529496809091,5.639142445282306,124,336,0,0.26956521739130435,False,kalman
0000000079_70312_000000000643.bin,468,5.567624803862432,1.3438439670522568,5.575699511355061,1.0933601977400351,5.563494108694893,1.032605490101779,5.575699511355061,1.0933601977400351,0.2478448275862069,115,1.0,0.2478448275862069,5.681888908006491,5.658510474998797,124,344,0,0.26495726495726496,False,kalman
0000000079_83043_000000000644.bin,420,5.559338968778006,0.9534917937217908,5.570315923480143,1.0473352055730394,5.562455323715671,1.012827066006782,5.570315923480143,1.0473352055730394,0.2517985611510791,105,1.0,0.2517985611510791,5.667921181545237,5.653912618175905,123,297,0,0.29285714285714287,False,kalman
0000000079_95546_000000000645.bin,374,5.681422997684442,0.9532235089884311,5.604277659425073,1.0185683911138732,5.592197242207864,0.9979261767521943,5.604277659425073,1.0185683911138732,0.22788203753351208,85,1.0,0.22788203753351208,5.6960872229371,5.6805392921803195,106,268,0,0.28342245989304815,False,kalman
0000000080_08061_000000000646.bin,479,5.754756811184733,0.7691551427261983,5.643969722348426,0.952780365110558,5.632837134452082,0.9407334182456953,5.643969722348426,0.952780365110558,0.18220338983050846,86,1.0,0.18220338983050846,5.723826050023356,5.71085226104358,110,369,0,0.22964509394572025,False,kalman
0000000080_19573_000000000647.bin,469,5.634889628131974,1.0608860764293373,5.641051895581431,0.9875194031239949,5.6333502578720545,0.9707715827916059,5.641051895581431,0.9875194031239949,0.22844827586206898,106,1.0,0.22844827586206898,5.726836915801709,5.716382824288701,120,349,0,0.255863539445629,False,kalman
0000000080_34580_000000000648.bin,376,5.624708852154351,1.2155937202977976,5.635606595461606,1.0635109473046624,5.6311899064426285,1.0319771171681538,5.635606595461606,1.0635109473046624,0.24594594594594596,91,1.0,0.24594594594594596,5.73507778795085,5.72496956610077,104,272,0,0.2765957446808511,False,kalman
0000000080_42444_000000000649.bin,474,5.685943328244095,0.9277123591665523,5.651368644582668,1.0209880440790409,5.644878261892995,1.0059109276677534,5.651368644582668,1.0209880440790409,0.2302771855010661,108,1.0,0.2302771855010661,5.742855051550969,5.733803919388373,122,352,0,0.25738396624472576,False,kalman
0000000080_55094_000000000650.bin,446,5.707591467465415,1.0134243888615058,5.671297240772256,1.0183070504394671,5.6605565632861,1.0077892929661916,5.671297240772256,1.0183070504394671,0.2766439909297052,122,1.0,0.2766439909297052,5.761992853359481,5.749568667750533,131,315,0,0.2937219730941704,False,kalman
